ID,PARAM,TYPE,Year,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM,Mean
10KA001,2,8,2015,5.189,,5.021,,4.823,,4.866,,7.350,,5.244,,4.893,,4.852,,4.553,,4.147,,4.759,,5.214,,5.079
10KA001,2,8,2016,5.039,,4.670,,4.381,,4.476,,6.091,,5.695,,5.347,,4.590,,4.809,,4.269,,,,,,
10KA001,2,8,2017,,,5.224,,4.952,,4.945,,,,6.110,,,,4.961,,,,,,,,,,
10KA001,2,8,2018,,,4.686,,4.517,,4.501,,6.037,,5.572,,5.654,,4.758,,,,,,4.404,,4.864,,
10KA001,2,8,2019,4.931,,4.617,,4.366,,4.867,,5.895,,5.402,,4.934,,4.689,,4.512,,,,,,,,
10KA001,2,8,2020,,,5.170,,5.019,,4.988,,,,,,6.974,,6.537,,6.194,,5.213,,,,,,
10KA001,2,8,2021,6.551,,6.402,,5.964,,5.680,,,,,,6.379,,5.777,,5.395,,,,4.964,,5.531,,
10KA001,2,8,2022,5.839,,5.587,,5.334,,5.121,,,,7.619,,6.432,,5.367,,4.626,,,,,,5.398,,
10KA001,2,8,2023,5.197,,4.974,,4.718,,4.605,,,,5.297,,4.851,,4.451,,3.954,,3.760,,4.175,,4.529,,
10KD001,2,8,2011,,,,,,,,,,,,,5.908,,5.382,,4.681,,,,,,,,
10KD001,2,8,2012,,,,,,,,,,,,,5.555,,4.699,,4.646,,3.989,,,,,,
10KD001,2,8,2013,,,,,,,,,,,,,5.735,,5.086,,4.602,,4.196,,,,,,
10KD001,2,8,2014,,,,,,,,,,,,,5.591,,4.455,,3.794,,,,,,,,
10KD001,2,8,2015,,,,,,,,,,,,,4.731,,4.717,,4.367,,3.844,,,,,,
10KD001,2,8,2016,,,,,,,,,,,5.795,,5.379,,4.496,,4.677,,3.971,,,,,,
10KD001,2,8,2017,,,,,,,,,,,6.089,,5.945,,4.827,,4.155,,3.764,,,,,,
10KD001,2,8,2018,,,,,,,,,,,5.502,,5.658,,4.658,,3.989,,3.368,,,,,,
10KD001,2,8,2019,,,,,,,,,,,,,4.784,,,,,,,,,,,,
